Wall time,Step,Value
1731657145.7891762,25734,0.0
1731657353.7824688,25769,0.0
1731657572.9238846,25802,0.0
1731657870.548793,25843,0.0
1731658619.6576664,25951,0.0
1731658734.402316,25967,0.0
1731658885.209977,25988,0.0
1731658926.7336082,25997,0.0
1731659019.5152764,26013,0.0
1731659423.1646254,26076,0.0
1731659428.6997504,26077,0.0
1731659509.2408917,26091,0.0
1731660256.2849815,26201,0.0
1731660345.9106073,26214,0.0
1731660421.409909,26225,0.0
1731661166.5763438,26325,0.0
1731661575.0949883,26392,0.0
1731661876.6670852,26434,0.0
1731662939.8575118,26592,0.0
1731663401.4981074,26676,0.0
1731663411.058665,26678,0.0
1731663666.4061363,26718,0.0
1731663674.3575497,26719,0.0
1731663682.0021672,26720,0.0
1731663801.4333622,26736,0.0
1731663877.992235,26749,0.0
1731663895.2211955,26751,0.0
1731664570.3916843,26850,0.0
1731665526.9636533,27000,0.0
1731665956.1589515,27064,0.0
1731666002.8581138,27070,0.0
1731666081.2645204,27076,0.0
1731666111.5089273,27080,0.0
1731666119.2328246,27081,0.0
1731666665.9686127,27156,0.0
1731666922.7910159,27196,0.0
1731667313.8818629,27251,0.0
1731668080.462277,27360,0.0
1731668169.4024553,27371,0.0
1731668224.9223402,27379,0.0
1731668602.9705954,27427,0.0
1731668803.7470577,27451,0.0
1731669146.8181083,27491,0.0
1731669168.5229936,27494,0.0
1731669398.5196843,27525,0.0
1731669468.833019,27535,0.0
1731669511.6482778,27542,0.0
1731669669.7783396,27560,0.0
1731670096.759736,27617,0.0
1731670251.2511716,27637,0.0
1731670267.440091,27640,0.0
1731670391.1065528,27661,0.0
1731671026.3909893,27747,0.0
1731671688.3039975,27838,0.0
1731671699.3812373,27840,0.0
1731671976.4220219,27872,0.0
1731672111.6605916,27890,0.0
1731674325.2028556,28173,0.0
1731674498.9400887,28199,0.0
1731674804.2708526,28243,0.0
1731675175.6916564,28298,0.0
1731675640.7667987,28360,0.0
1731675715.4606247,28373,0.0
1731676358.9905524,28465,0.0
1731676556.7270582,28494,0.0
1731676809.6938899,28533,0.0
1731677270.1162233,28598,0.0
1731678848.2798872,28813,0.0
1731679449.9329586,28892,0.0
1731679644.723518,28918,0.0
1731679756.2846603,28940,0.0
1731679908.426368,28959,0.0
1731680035.6130686,28979,0.0
1731680063.9290957,28984,0.0
1731680174.3936791,29000,0.0
1731680257.0494256,29012,0.0
1731680382.3562343,29028,0.0
1731680635.6567817,29055,0.0
1731681260.0893087,29123,0.0
1731685852.0447142,29103,0.0
1731685941.644934,29116,0.0
1731686025.4056087,29124,0.0
1731686774.9144535,29219,0.0
1731687305.7877376,29291,0.0
1731687621.727619,29324,0.0
1731687687.606493,29331,0.0
1731687744.5893328,29340,0.0
1731688150.1894054,29390,0.0
1731688179.7902546,29393,0.0
1731688310.8149648,29414,0.0
1731688406.349652,29426,0.0
1731688509.4302936,29445,0.0
1731688708.7528281,29464,0.0
1731689742.0820704,29600,0.0
1731690320.031013,29681,0.0
1731690324.5300832,29682,0.0
1731690581.93996,29716,0.0
1731690728.0766509,29735,0.0
1731691013.079478,29781,0.0
1731691476.1276107,29853,0.0
1731691506.4299512,29858,0.0
1731691738.3306892,29884,0.0
1731692143.3911877,29930,0.0
1731692301.4019217,29945,0.0
1731718863.449073,30026,0.0
1731719173.13824,30069,0.0
1731719312.5083177,30089,0.0
1731719359.5197678,30095,0.0
1731719446.5813038,30108,0.0
1731719683.8477268,30136,0.0
1731720012.532436,30179,0.0
1731720881.389804,30286,0.0
1731721074.120204,30311,0.0
1731721178.9092853,30318,0.0
1731721218.2338574,30322,0.0
1731722066.6994042,30421,0.0
1731722097.1164308,30424,0.0
1731722429.2270267,30464,0.0
1731723298.8154845,30558,0.0
1731723405.8321612,30572,0.0
1731723534.165758,30589,0.0
1731723545.6132705,30590,0.0
1731723883.3805075,30632,0.0
1731724835.245354,30731,0.0
1731726364.4719388,30904,0.0
1731726776.2457144,30957,0.0
1731727686.391516,31065,0.0
1731727787.706389,31076,0.0
1731728650.029332,31199,0.0
1731729071.7144675,31258,0.0
1731729329.9920535,31295,0.0
1731729439.816414,31316,0.0
1731729655.78425,31353,0.0
1731729860.6566155,31389,0.0
1731729862.2516875,31390,0.0
1731730026.7714703,31415,0.0
1731730478.301797,31477,0.0
1731730959.8070958,31548,0.0
1731731127.7046704,31574,0.0
1731731372.1909876,31614,0.0
1731731670.5012474,31660,0.0
1731732040.0041037,31725,0.0
1731732094.7382658,31732,0.0
1731732140.654972,31740,0.0
1731732445.4453988,31788,0.0
1731732504.6697252,31797,0.0
1731732847.4050183,31856,0.0
1731732914.3664262,31869,0.0
1731733852.6512644,32014,0.0
1731733911.205965,32026,0.0
1731734111.2864535,32059,0.0
1731734136.04954,32061,0.0
1731734347.961121,32101,0.0
1731734749.4902039,32166,0.0
1731735239.6204853,32240,0.0
1731735494.280859,32287,0.0
1731735737.79232,32323,0.0
1731735913.0710337,32352,0.0
1731736105.1953204,32381,0.0
1731736170.496509,32394,0.0
1731736199.0423753,32397,0.0
1731736593.4274693,32463,0.0
1731736618.4595735,32466,0.0
1731736816.08605,32509,0.0
1731737075.894301,32548,0.0
1731737130.2618668,32558,0.0
1731737467.717397,32614,0.0
1731738385.6665273,32746,0.0
1731738434.0815363,32753,0.0
1731738441.7551093,32754,0.0
1731738502.052838,32761,0.0
1731738967.881842,32826,0.0
1731739136.0396538,32854,0.0
1731739216.3770869,32866,0.0
1731739307.9273553,32879,0.0
1731739346.5683985,32886,0.0
1731740085.1510313,33000,0.0
1731740102.9909232,33004,0.0
1731740262.7800074,33031,0.0
1731740273.031082,33033,0.0
1731740731.8435934,33100,0.0
1731740862.2727673,33123,0.0
1731741373.7951307,33193,0.0
1731741439.212759,33203,0.0
1731741543.214709,33220,0.0
1731741612.274821,33227,0.0
1731741627.8911657,33230,0.0
1731741736.840889,33244,0.0
1731741829.3726153,33255,0.0
1731742771.8900044,33391,0.0
1731743011.0338166,33428,0.0
1731743346.4299586,33483,0.0
1731743385.1175513,33490,0.0
1731743771.7327073,33555,0.0
1731743949.090102,33580,0.0
1731744022.0987244,33589,0.0
1731744106.7105598,33601,0.0
1731744213.0473182,33620,0.0
1731744313.8963375,33637,0.0
1731744407.0510068,33652,0.0
1731744652.2934394,33691,0.0
1731744719.9383168,33703,0.0
1731744906.0531392,33728,0.0
1731745143.7235124,33758,0.0
1731745194.6771293,33765,0.0
1731745623.2639556,33823,0.0
